,type_cat,Year,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,code,parent_field_code,parent_field_label
807,3,2018,Clinical Medicine and Science,,Cancer Cell Biology, cancer biology , epigenetics , molecular basis of disease , therapeutics , cancer immunology,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
808,3,2018,Basic Science,,"Cell Development, Proliferation and Death", bcl-2 , apoptosis , cancer biology , leukaemia , drug discovery,60103.0,6.0,BIOLOGICAL SCIENCES
809,3,2018,Clinical Medicine and Science,,Neurosciences not elsewhere classified, psychiatry , novel therapies , epidemiology , basic science , clinical trial,110999.0,11.0,MEDICAL AND HEALTH SCIENCES
810,3,2018,Basic Science,,"Cell Development, Proliferation and Death", tumour growth , cancer biology , screening , genetic engineering , mouse models,60103.0,6.0,BIOLOGICAL SCIENCES
811,3,2018,Public Health,,Environmental and Occupational Health and Safety, air pollution , tuberculosis , asthma , developing countries , lung disease,111705.0,11.0,MEDICAL AND HEALTH SCIENCES
812,1,2018,Public Health,,Aboriginal and Torres Strait Islander Health, population-based , smoking-related diseases , equity , data analysis , policy development,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
813,1,2018,Public Health,,Aged Health Care, economic evaluation , modelling , physical activity , ageing , health promotion,111702.0,11.0,MEDICAL AND HEALTH SCIENCES
814,1,2018,Health Services Research,,Health Information Systems (incl. Surveillance), infection control , surveillance , public health , databases , consumer information,111711.0,11.0,MEDICAL AND HEALTH SCIENCES
815,1,2018,Health Services Research,,Aged Health Care, health services , ageing , adverse effects , pharmacy , quality use,111702.0,11.0,MEDICAL AND HEALTH SCIENCES
816,3,2018,Basic Science,,Epigenetics (incl. Genome Methylation and Epigenomics), dna methylation , chromatin structure , epigenetics , gene expression , cancer cell biology,60404.0,6.0,BIOLOGICAL SCIENCES
817,1,2018,Public Health,,Residential Client Care, pharmacoepidemiology , residential care , adverse events , risk prediction , quality improvement,111718.0,11.0,MEDICAL AND HEALTH SCIENCES
818,1,2018,Health Services Research,,Health and Community Services, epilepsy , outcomes research , modelling , antiepileptic drugs , predictive,111708.0,11.0,MEDICAL AND HEALTH SCIENCES
819,3,2018,Basic Science,,Receptors and Membrane Biology, cell biology , membrane trafficking , caveolae , membrane biology , cell membrane,60110.0,6.0,BIOLOGICAL SCIENCES
820,1,2018,Clinical Medicine and Science,,Paediatrics, allergy prevention , infant nutrition , feeding and nutrition , public health , infant feeding,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
821,1,2018,Public Health,,Public Health and Health Services not elsewhere classified, antibiotic use , regulation , policy making , primary care , behaviour change,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
822,1,2018,Basic Science,,Gene Expression (incl. Microarray and other genome-wide approaches), genomics , bioinformatics , rna processing , neurodegenerative disorders , genetics,60405.0,6.0,BIOLOGICAL SCIENCES
823,1,2018,Basic Science,,Nutritional Physiology, lipoprotein metabolism , cerebrovascular disorders , blood-brain barrier , alzheimer disease , cognitive decline,111103.0,11.0,MEDICAL AND HEALTH SCIENCES
824,1,2018,Clinical Medicine and Science,,Physiotherapy, osteoarthritis , rehabilitation , physiotherapy , joint disease , physical impairment,110317.0,11.0,MEDICAL AND HEALTH SCIENCES
825,3,2018,Basic Science,,Signal Transduction, sphingolipids , cancer cell biology , lipid metabolism , kinases , wound healing,60111.0,6.0,BIOLOGICAL SCIENCES
826,1,2018,Public Health,,Medical Bacteriology, epidemiology , infectious diseases , community health , communicable disease , infection control,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
827,1,2018,Basic Science,,Central Nervous System, motor neuron disease (mnd) , epilepsy , neurogenetics , embryonic stem cells , electrophysiology,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
828,1,2018,Public Health,,Mental Health, suicide prevention , suicide risk , mental health , population studies , epidemiology,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
829,1,2018,Public Health,,Clinical Pharmacology and Therapeutics, medications , chronic diseases , comorbidity , pharmacy , pharmacology,111502.0,11.0,MEDICAL AND HEALTH SCIENCES
830,1,2018,Public Health,,Preventive Medicine, mental health promotion , lifestyle factors , community intervention , epidemiology , prevention,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
831,1,2018,Public Health,,Health Promotion, alcohol , adolescent , parents , behaviour change , translational research,111712.0,11.0,MEDICAL AND HEALTH SCIENCES
832,1,2018,Basic Science,,Medical Virology, respiratory viruses , host/pathogen interaction , viral inhibitor , glycobiology , structural biology,110804.0,11.0,MEDICAL AND HEALTH SCIENCES
833,1,2018,Health Services Research,,Health and Community Services, services research , psychosocial factors , health care delivery , health care evaluation , chronic back pain,111708.0,11.0,MEDICAL AND HEALTH SCIENCES
834,1,2018,Basic Science,,Respiratory Diseases, chronic obstructive pulmonary disease (copd) , stem cell biology , respiratory epithelium , cigarette smoking , respiratory infection,110203.0,11.0,MEDICAL AND HEALTH SCIENCES
835,1,2018,Clinical Medicine and Science,,Clinical Pharmacology and Therapeutics, cystic fibrosis , cystic fibrosis transmembrane regulator (cftr) , pharmacology , respiratory medicine , therapeutics,111502.0,11.0,MEDICAL AND HEALTH SCIENCES
836,1,2018,Clinical Medicine and Science,,Nutritional Physiology, metabolism , intensive care , enteral nutrition , randomised controlled trial (rct) , muscle atrophy,111103.0,11.0,MEDICAL AND HEALTH SCIENCES
837,1,2018,Basic Science,,Pharmacology and Pharmaceutical Sciences not elsewhere classified, structure-based drug design , electrophysiology , medicinal chemistry , ion channels , drug discovery,111599.0,11.0,MEDICAL AND HEALTH SCIENCES
838,1,2018,Public Health,,Public Nutrition Intervention, nutrition , obesity , adolescent health , telemedicine , physical activity,111104.0,11.0,MEDICAL AND HEALTH SCIENCES
839,1,2018,Basic Science,,Nanomedicine, biomaterials , cancer chemotherapeutic agents , nanotechnology , therapeutic agents , biomedical engineering,100709.0,10.0,TECHNOLOGY
840,1,2018,Clinical Medicine and Science,,Infectious Diseases, antibiotic resistance , bacteraemia , escherichia coli , clinical trial , infection control,110309.0,11.0,MEDICAL AND HEALTH SCIENCES
841,1,2018,Clinical Medicine and Science,,Rheumatology and Arthritis, osteoarthritis , pain management , randomised controlled trial (rct) , musculoskeletal disorders , magnetic resonance imaging (mri),110322.0,11.0,MEDICAL AND HEALTH SCIENCES
842,1,2018,Basic Science,,Haematology, leukaemia , inhibitors , stem cells , acute myeloid leukaemia (aml) , transcriptional regulation,110202.0,11.0,MEDICAL AND HEALTH SCIENCES
843,1,2018,Basic Science,,Epigenetics (incl. Genome Methylation and Epigenomics), ageing , epigenetics , physical activity , methylation , bioinformatics,60404.0,6.0,BIOLOGICAL SCIENCES
844,1,2018,Basic Science,,Cancer Therapy (excl. Chemotherapy and Radiation Therapy), cancer immunotherapy , cancer metastasis , cancer research , cancer therapy , biomarkers,111204.0,11.0,MEDICAL AND HEALTH SCIENCES
845,3,2018,Basic Science,,"Applied Immunology (incl. Antibody Engineering, Xenotransplantation and T-cell Therapies)", antibody engineering , protein engineering , antibody production , structural immunology , antibody therapy,110702.0,11.0,MEDICAL AND HEALTH SCIENCES
846,1,2018,Basic Science,,Epigenetics (incl. Genome Methylation and Epigenomics), epilepsy , bioinformatics , rna processing , neurobiology , biochemistry,60404.0,6.0,BIOLOGICAL SCIENCES
847,1,2018,Public Health,,Mental Health, adolescence , bereavement , intervention study , mental health , parents,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
848,3,2018,Basic Science,,Cancer Cell Biology, leukaemia , paediatric , chemotherapy , glucocorticoids , xenografts,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
849,3,2018,Basic Science,,Pharmacology and Pharmaceutical Sciences not elsewhere classified, antimicrobial therapy , antimicrobial resistance , drug discovery , mechanism of action , systems biology,111599.0,11.0,MEDICAL AND HEALTH SCIENCES
850,1,2018,Basic Science,,Cardiology (incl. Cardiovascular Diseases), exercise intolerance , cardiovascular disease , type 2 diabetes mellitus (non-insulin dependent diabetes mellitus) , exercise physiology , microvascular disease,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
851,3,2018,Basic Science,,Cellular Immunology, immunological tolerance , cancer cell biology , regulatory t cells , thymus , immunotherapy,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
852,1,2018,Public Health,,Epidemiology, human immunodeficiency virus (hiv) , prophylaxis , prevention , intervention study , evaluation,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
853,1,2018,Clinical Medicine and Science,,Cardiology (incl. Cardiovascular Diseases), magnetic resonance imaging (mri) , electrocardiogram (ecg) , health services , coronary heart disease (chd) , microvascular disease,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
854,1,2018,Basic Science,,Haematology, erythropoiesis , screening , genomics , blood , gene regulation,110202.0,11.0,MEDICAL AND HEALTH SCIENCES
855,1,2018,Clinical Medicine and Science,,Cancer Genetics, melanoma , genetics , cancer genetics , genetic testing , psychological factors,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
856,1,2018,Basic Science,,Pharmacology and Pharmaceutical Sciences not elsewhere classified, antimicrobial resistance , antimicrobial therapy , drug development , antisense oligonucleotides , peptides,111599.0,11.0,MEDICAL AND HEALTH SCIENCES
857,1,2018,Public Health,,Aboriginal and Torres Strait Islander Health, aboriginal health , adolescent health , injury epidemiology , participatory action research , equity,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
858,1,2018,Clinical Medicine and Science,,Infectious Diseases, hepatitis c infection , hepatitis b infection , clinical trial , human immunodeficiency virus (hiv) , cohort study,110309.0,11.0,MEDICAL AND HEALTH SCIENCES
859,1,2018,Public Health,,"Health, Clinical and Counselling Psychology", obesity , eating disorders , epidemiology , prevention , bullying behaviour,170106.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
860,1,2018,Basic Science,,Regenerative Medicine (incl. Stem Cells and Tissue Engineering), tissue engineering , cell culture , tissue remodelling , mouse models , cell growth,100404.0,10.0,TECHNOLOGY
861,1,2018,Public Health,,Obstetrics and Gynaecology, stillbirth , antenatal care , aboriginal health , epidemiology , rural and remote health services,111402.0,11.0,MEDICAL AND HEALTH SCIENCES
862,1,2018,Public Health,,Primary Health Care, chronic pain , primary care , opioid analgesia , health care utilisation , musculoskeletal disorders,111717.0,11.0,MEDICAL AND HEALTH SCIENCES
863,1,2018,Public Health,,Epidemiology, infectious diseases , antibiotic resistance , risk assessment , meta-analysis , modelling,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
864,1,2018,Public Health,,"Health, Clinical and Counselling Psychology", cardiovascular risk factors , mental health , longitudinal cohort study , childhood , depression,170106.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
865,2,2018,Basic Science,,Cellular Immunology, influenza , memory t-cells , t cell immunity , vaccine , respiratory infection,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
866,2,2018,Basic Science,,Cancer Cell Biology, extracellular matrix , cancer metastasis , breast cancer , pancreatic cancer , targeted therapy,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
867,1,2018,Basic Science,,Immunology not elsewhere classified, cancer immunotherapy , natural killer cells , cancer , acute myeloid leukaemia (aml) , immunology,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
868,1,2018,Public Health,,Public Health and Health Services not elsewhere classified, child health , population health , vaccine strategy , asthma , influenza,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
869,1,2018,Clinical Medicine and Science,,Endocrinology, osteoporosis , falls prevention , young adults , fracture , balance,110306.0,11.0,MEDICAL AND HEALTH SCIENCES
870,1,2018,Public Health,,Aboriginal and Torres Strait Islander Health, smoking cessation , pregnancy , smoking intervention , aboriginal health , maternal and child health,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
871,2,2018,Clinical Medicine and Science,,Haematology, anaemia , iron deficiency , iron metabolism , paediatric , obstetrics,110202.0,11.0,MEDICAL AND HEALTH SCIENCES
872,2,2018,Public Health,,Epidemiology, food allergy , allergy prevention , population-based , infant feeding , prevention,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
873,2,2018,Public Health,,Mental Health, mental health , internet service delivery , translational research , depression , anxiety,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
874,2,2018,Clinical Medicine and Science,,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)", social cognition , behaviour , neuropsychiatry , dementia , burden of disease,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
875,1,2018,Public Health,,Epidemiology, pharmacoepidemiology , health policy evaluation , biostatistics , population health , epidemiology,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
876,1,2018,Public Health,,Epidemiology, asthma , chronic obstructive pulmonary disease (copd) , lung cancer , air pollution , cardiovascular,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
877,1,2018,Clinical Medicine and Science,,Paediatrics, pregnancy complications , diabetes , child development , cardiovascular health , child health,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
878,1,2018,Basic Science,,Molecular Medicine, obesity , fetal programming , chronic diseases , epigenetics , maternal and child health,30405.0,3.0,CHEMICAL SCIENCES
879,2,2018,Public Health,,Community Child Health, child health , equity , child development , disability , health services,111704.0,11.0,MEDICAL AND HEALTH SCIENCES
880,3,2018,Basic Science,,Medical Biochemistry and Metabolomics not elsewhere classified, epidemiology , genetic epidemiology , lipoprotein metabolism , lipid metabolism , drug action,110199.0,11.0,MEDICAL AND HEALTH SCIENCES
881,2,2018,Clinical Medicine and Science,,Nephrology and Urology, kidney disease , ischaemia/reperfusion , dendritic cell , molecular biology , bioinformatics,110312.0,11.0,MEDICAL AND HEALTH SCIENCES
882,1,2018,Clinical Medicine and Science,,Respiratory Diseases, chronic obstructive pulmonary disease (copd) , chronic airflow limitation , risk factors , epidemiology , risk prediction,110203.0,11.0,MEDICAL AND HEALTH SCIENCES
883,2,2018,Basic Science,,Cancer Cell Biology, endometrial cancer , ovarian cancer , wnt signalling , gynaecological cancers , uterine cancer,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
884,1,2018,Basic Science,,Respiratory Diseases, maternal and child health , chronic obstructive pulmonary disease (copd) , air pollution , mitochondria , lung development,110203.0,11.0,MEDICAL AND HEALTH SCIENCES
885,2,2018,Basic Science,,Medical Bacteriology, bacterial pathogenesis , host/pathogen interaction , inflammatory bowel disease (ibd) , inflammatory mediators , death signalling,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
886,2,2018,Basic Science,,Innate Immunity, microbiology , innate immunity , bacterial genetics , bacterial population biology , bioinformatics,110707.0,11.0,MEDICAL AND HEALTH SCIENCES
887,2,2018,Basic Science,,Obstetrics and Gynaecology, pregnancy complications , pregnancy outcome , placental insufficiency , placental function , fetal growth restriction,111402.0,11.0,MEDICAL AND HEALTH SCIENCES
888,3,2018,Basic Science,,Structural Biology (incl. Macromolecular Modelling), structural immunology , influenza , human immunodeficiency virus (hiv) , t cell immunity , viral infection,60112.0,6.0,BIOLOGICAL SCIENCES
889,2,2018,Clinical Medicine and Science,,Paediatrics, cell therapy , regenerative medicine , stem cells , bronchopulmonary dysplasia , translational research,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
890,2,2018,Basic Science,,Structural Biology (incl. Macromolecular Modelling), antibiotics , mitochondrial disease , basic science , enzyme structure , cardiac arrhythmia,60112.0,6.0,BIOLOGICAL SCIENCES
